Titolo_di_Studio,Java,Python,MySql,Inglese,Esperienze_Pregresse,Possibilità_Assunzione
0,1,1,1,0,3_6,1
0,0,0,0,0,0_2,0
0,1,0,0,0,0_2,0
0,0,1,0,0,0_2,0
0,0,0,1,0,0_2,0
0,0,0,0,0,3_6,0
0,1,0,0,0,3_6,0
0,0,1,0,0,3_6,0
0,0,0,1,0,3_6,0
0,0,1,1,0,0_2,0
0,1,0,1,0,0_2,0
0,1,1,0,0,0_2,0
0,0,1,1,0,3_6,0
0,1,0,1,0,3_6,0
0,1,1,0,0,3_6,0
0,1,1,1,0,0_2,0
1,0,0,0,0,0_2,0
1,0,0,0,0,3_6,0
1,1,0,0,0,0_2,0
1,0,1,0,0,0_2,0
1,0,0,1,0,0_2,0
1,1,0,0,0,3_6,1
1,0,1,0,0,3_6,1
1,0,0,1,0,3_6,1
1,0,1,1,0,0_2,0
1,1,0,1,0,0_2,0
1,1,1,0,0,0_2,0
1,1,1,1,0,0_2,1
1,0,1,1,0,3_6,1
1,1,0,1,0,3_6,1
1,1,1,0,0,3_6,1
1,1,1,1,0,3_6,1
2,0,0,0,0,3_6,0
2,0,0,1,0,3_6,1
2,1,0,0,0,3_6,1
2,0,1,0,0,0_2,1
2,0,0,0,0,0_2,0
2,1,0,0,0,0_2,1
2,0,1,0,0,3_6,1
2,0,0,1,0,0_2,1
2,0,1,1,0,3_6,1
2,1,0,1,0,3_6,1
2,1,1,0,0,3_6,1
2,1,1,1,0,0_2,1
2,0,1,1,0,0_2,1
2,1,0,1,0,0_2,1
2,1,1,0,0,0_2,1
2,1,1,1,0,3_6,1
0,1,1,1,1,3_6,1
0,0,0,0,1,0_2,0
0,1,0,0,1,0_2,0
0,0,1,0,1,0_2,0
0,0,0,1,1,0_2,0
0,0,0,0,1,3_6,0
0,1,0,0,1,3_6,0
0,0,1,0,1,3_6,0
0,0,0,1,1,3_6,0
0,0,1,1,1,0_2,0
0,1,0,1,1,0_2,0
0,1,1,0,1,0_2,0
0,0,1,1,1,3_6,0
0,1,0,1,1,3_6,0
0,1,1,0,1,3_6,0
0,1,1,1,1,0_2,1
1,0,0,0,1,0_2,0
1,0,0,0,1,3_6,0
1,1,0,0,1,0_2,0
1,0,1,0,1,0_2,0
1,0,0,1,1,0_2,0
1,1,0,0,1,3_6,1
1,0,1,0,1,3_6,1
1,0,0,1,1,3_6,1
1,0,1,1,1,0_2,1
1,1,0,1,1,0_2,1
1,1,1,0,1,0_2,1
1,1,1,1,1,0_2,1
1,0,1,1,1,3_6,1
1,1,0,1,1,3_6,1
1,1,1,0,1,3_6,1
1,1,1,1,1,3_6,1
2,0,0,0,1,3_6,0
2,0,0,1,1,3_6,1
2,1,0,0,1,3_6,1
2,0,1,0,1,0_2,1
2,0,0,1,1,0_2,1
2,1,0,0,1,0_2,1
2,0,1,0,1,3_6,1
2,0,0,0,1,0_2,0
2,0,1,1,1,3_6,1
2,1,0,1,1,3_6,1
2,1,1,0,1,3_6,1
2,1,1,1,1,0_2,1
2,0,1,1,1,0_2,1
2,1,0,1,1,0_2,1
2,1,1,0,1,0_2,1
2,1,1,1,1,3_6,1
0,1,1,1,0,7_,1
0,0,0,0,0,7_,0
0,1,0,0,0,7_,1
0,0,1,0,0,7_,1
0,0,0,1,0,7_,1
0,0,1,1,0,7_,1
0,1,0,1,0,7_,1
0,1,1,0,0,7_,1
1,0,0,0,0,7_,1
1,1,0,0,0,7_,1
1,0,1,0,0,7_,1
1,0,0,1,0,7_,1
1,0,1,1,0,7_,1
1,1,0,1,0,7_,1
1,1,1,0,0,7_,1
1,1,1,1,0,7_,1
2,0,0,0,0,7_,1
2,0,0,1,0,7_,1
2,1,0,0,0,7_,1
2,0,1,0,0,7_,1
2,0,1,1,0,7_,1
2,1,0,1,0,7_,1
2,1,1,0,0,7_,1
2,1,1,1,0,7_,1
0,1,1,1,1,7_,1
0,0,0,0,1,7_,0
0,1,0,0,1,7_,1
0,0,1,0,1,7_,1
0,0,0,1,1,7_,1
0,0,1,1,1,7_,1
0,1,0,1,1,7_,1
0,1,1,0,1,7_,1
1,0,0,0,1,7_,1
1,1,0,0,1,7_,1
1,0,1,0,1,7_,1
1,0,0,1,1,7_,1
1,0,1,1,1,7_,1
1,1,0,1,1,7_,1
1,1,1,0,1,7_,1
1,1,1,1,1,7_,1
2,0,0,0,1,7_,1
2,0,0,1,1,7_,1
2,1,0,0,1,7_,1
2,0,1,0,1,7_,1
2,0,1,1,1,7_,1
2,1,0,1,1,7_,1
2,1,1,0,1,7_,1
2,1,1,1,1,7_,1
